,公司名稱,公司類別描述,職缺名稱,職務性質,職務內容,更新日期,職缺連結,公司地址,地區,經歷,學歷
22,技嘉科技股份有限公司,電腦及其週邊設備製造業,Python Engineer_CM,1,"適應軟體在不同的硬體上
6. 相關技術文件撰寫

職務需求
- 曾使用過 git 的經驗
- 熟悉 Python，曾用 python 寫過專案
- 了解 machine learning 的基礎概念
- 可獨立或與團隊合作，工作態度積極、負責

加",3/17,https://www.104.com.tw/job/76ez9?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,新北市新店區寶強路6號,新北市新店區,經歷不拘,大學
23,安德盛數位有限公司,電腦軟體服務業,Python 後端工程師,1,"【工作內容】
1. 根據產品需求，完成功能模組的設計，開發和測試工作
2. 與產品企劃、工程師、及測試人員密切的合作，完成開發
3. 配合專案時程與項目需求，獨立完成職務內任務",3/24,https://www.104.com.tw/job/782f0?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市松山區八德路,台北市松山區,5年以上,專科
24,聯成電腦有限公司(聯成電腦/聯成外語),補習班,Python 程式設計語言講師(楠梓),2,"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",3/24,https://www.104.com.tw/job/76slb?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,高雄市楠梓區建楠路219號(近楠梓火車站),高雄市楠梓區,3年以上,大學
25,易勝資訊股份有限公司,電腦軟體服務業,Python後端工程師(IoT物聯網),1,"協助研發IoT服務平台及系統整合。
使用技術條件：
熟悉 Python 程式語言
熟悉 Django、Flask或其他Python網頁開發框架
熟悉 Linux、Mac 或 BSD 作業系統


以下為加分條件：
喜歡學習/研究新技術者佳
了解",3/18,https://www.104.com.tw/job/76vbt?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市信義區,台北市信義區,1年以上,大學
26,財團法人中國生產力中心,工商顧問服務業,Python工程師(文字探勘、數據分析),1,"1. 專案網站/系統開發及維護 
2. 熟悉Python，同時熟悉C#尤佳 
3. 資料庫操作與管理 
4. 訪談使用者需求、溝通與協調 

對文字探勘、大數據分析、人工智慧、IoT技術有興趣者
",3/19,https://www.104.com.tw/job/6dhx1?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,新北市汐止區新台五路一段79號2樓(221)汐科站旁,新北市汐止區,3年以上,大學
27,工智聯科技股份有限公司,電子通訊／電腦週邊零售業,Python軟體工程師,1,"1. Python 後端開發。
2. 熟悉資料庫C語言/MySQL者佳。
3. 熟悉 Linux開發環境者優先。
4. 有OpenCV經驗者佳。
5. 有Web/APP API經驗者佳。",3/18,https://www.104.com.tw/job/6ulns?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,新北市土城區忠承路113號12樓,新北市土城區,2年以上,大學
28,米約科技有限公司,網際網路相關業,資深Python工程師,1,"工作內容
1. 系統開發與維護
2. 監控資料庫效能，適時針對 SQL語法效能優化
3. 產品需求評估，參與專案執行
4. 第三方API整合、API開發
5. 規劃執行數據備援、修補計畫
6. 開發文件落實",3/17,https://www.104.com.tw/job/7469r?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市中山區天祥路59號,台北市中山區,經歷不拘,學歷不拘
29,費米股份有限公司,電腦系統整合服務業,Python資深軟體工程師 -Python Senior Software Engineer,1,"FLH費米是立足台灣，跨足日本、東南亞的物聯網智慧家庭品牌，服務過日本百大企業KDDI、Softbank，以及中華電信、各大建設公司，將物聯網應用在商辦、住家、建築等領域，是業界最完整的智慧家庭系統服務商。

工作內容：
1. 開發智慧家庭整合系統(Linux Based)
2. 開發雲端服務系統(Google Cloud Platform)
3. 負責軟體之維護管理及問題協調追蹤與排除
4. 收集、評估與回覆用戶反饋",3/19,https://www.104.com.tw/job/6xhfe?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市中山區民生東路三段25號1樓,台北市中山區,5年以上,大學
30,伊諾科技有限公司,電腦系統整合服務業,(Big Data Team) Python 工程師,1,"我們期待您在加入伊諾後，不會只想安逸的當一個只召喚爬蟲的 Python 攻城獅，而是渴望挑戰以前沒做過的各種任務。在工作中學習，經由學習來完成任務，藉由完成任務的經驗來造就大神。

當公司業務需要資料來支持時，開發團隊會希望 Python 工",3/18,https://www.104.com.tw/job/6ucvg?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市內湖區陽光街300號9 樓,台北市內湖區,3年以上,大學
31,艾斯移動股份有限公司,電腦軟體服務業,【實習/工讀】軟體工程師(Java/Python),2,"【工作內容】
作為AI部門的實習生，您將在資深同仁的帶領下，實際參與並負責智能客服及AI相關應用服務的設計、開發、測試、部署與維護等工作。

【需求條件】
1.   擁有1年以上 Java或 Python研發經驗 
2.   每週至少出席三天",3/19,https://www.104.com.tw/job/6rj5s?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市大安區敦化南路2段76號5樓,台北市大安區,經歷不拘,專科
